Kategori,Alt_Kategori,Marka,Model,Fiyat_TL,Segment,Kullanim_Amaci,Soket,RAM_Tipi,Watt,Kapasite,Uyumluluk,Ozellik,Puan,Yorum_Sayisi,Garanti_Yil,RGB,Boyut,Cozunurluk,Hz,VRAM,Okuma_Hizi,Yazma_Hizi,Kaynak,Fiyat_Guncelleme_Tarihi,Fiyat_Notu,Akakce_Arama_Link,Hepsiburada_Arama_Link,Amazon_Arama_Link,Teknosa_Arama_Link,Vatan_Arama_Link,Itopya_Arama_Link,Incehesap_Arama_Link,Sinerji_Arama_Link
Toplama Bilgisayar,Kasa,DarkFlash,Aquarius,3350,Orta,Günlük Kullanım,,,,,ATX,"Mini Tower, mesh/airflow odaklı kasa",7.4,6205,2,Var,Mini Tower,,,,,,Epey,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=DarkFlash+Aquarius,https://www.hepsiburada.com/ara?q=DarkFlash+Aquarius,https://www.amazon.com.tr/s?k=DarkFlash+Aquarius,https://www.teknosa.com/arama/?s=DarkFlash+Aquarius,https://www.vatanbilgisayar.com/arama/DarkFlash+Aquarius,https://www.itopya.com/Arama?q=DarkFlash+Aquarius,https://www.incehesap.com/arama/?q=DarkFlash+Aquarius,https://www.sinerji.gen.tr/arama?q=DarkFlash+Aquarius
Toplama Bilgisayar,Kasa,NZXT,CH370,4400,Üst,Video Edit,,,,,Micro ATX,"Mini Tower, mesh/airflow odaklı kasa",8.7,6144,2,Var,Mini Tower,,,,,,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=NZXT+CH370,https://www.hepsiburada.com/ara?q=NZXT+CH370,https://www.amazon.com.tr/s?k=NZXT+CH370,https://www.teknosa.com/arama/?s=NZXT+CH370,https://www.vatanbilgisayar.com/arama/NZXT+CH370,https://www.itopya.com/Arama?q=NZXT+CH370,https://www.incehesap.com/arama/?q=NZXT+CH370,https://www.sinerji.gen.tr/arama?q=NZXT+CH370
Toplama Bilgisayar,Kasa,NZXT,Meshify RGB,3050,Orta,Ofis,,,,,E-ATX,"Full Tower, mesh/airflow odaklı kasa",8.1,4420,2,Var,Full Tower,,,,,,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=NZXT+Meshify+RGB,https://www.hepsiburada.com/ara?q=NZXT+Meshify+RGB,https://www.amazon.com.tr/s?k=NZXT+Meshify+RGB,https://www.teknosa.com/arama/?s=NZXT+Meshify+RGB,https://www.vatanbilgisayar.com/arama/NZXT+Meshify+RGB,https://www.itopya.com/Arama?q=NZXT+Meshify+RGB,https://www.incehesap.com/arama/?q=NZXT+Meshify+RGB,https://www.sinerji.gen.tr/arama?q=NZXT+Meshify+RGB
Toplama Bilgisayar,Monitör,BenQ,UltraGear 34 inç 1920x1080 75Hz,3600,Giriş,Oyun,,,25,,HDMI-DP,"VA panel, 75Hz",7.7,1238,3,Yok,34 inç,1920x1080,75Hz,,,,İncehesap,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=BenQ+UltraGear+34+in%C3%A7+1920x1080+75Hz,https://www.hepsiburada.com/ara?q=BenQ+UltraGear+34+in%C3%A7+1920x1080+75Hz,https://www.amazon.com.tr/s?k=BenQ+UltraGear+34+in%C3%A7+1920x1080+75Hz,https://www.teknosa.com/arama/?s=BenQ+UltraGear+34+in%C3%A7+1920x1080+75Hz,https://www.vatanbilgisayar.com/arama/BenQ+UltraGear+34+in%C3%A7+1920x1080+75Hz,https://www.itopya.com/Arama?q=BenQ+UltraGear+34+in%C3%A7+1920x1080+75Hz,https://www.incehesap.com/arama/?q=BenQ+UltraGear+34+in%C3%A7+1920x1080+75Hz,https://www.sinerji.gen.tr/arama?q=BenQ+UltraGear+34+in%C3%A7+1920x1080+75Hz
Toplama Bilgisayar,Mouse,Glorious,M711 26000DPI,1050,Orta,Günlük Kullanım,,,,,Kablosuz,"26000 DPI sensör, 75g",7.5,4047,2,Yok,,,,,,,Akakçe,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Glorious+M711+26000DPI,https://www.hepsiburada.com/ara?q=Glorious+M711+26000DPI,https://www.amazon.com.tr/s?k=Glorious+M711+26000DPI,https://www.teknosa.com/arama/?s=Glorious+M711+26000DPI,https://www.vatanbilgisayar.com/arama/Glorious+M711+26000DPI,https://www.itopya.com/Arama?q=Glorious+M711+26000DPI,https://www.incehesap.com/arama/?q=Glorious+M711+26000DPI,https://www.sinerji.gen.tr/arama?q=Glorious+M711+26000DPI
Toplama Bilgisayar,Kasa,Lian Li,Lancool Mesh,5700,Üst,Oyun,,,,,Micro ATX,"Mid Tower, mesh/airflow odaklı kasa",9.2,1997,2,Var,Mid Tower,,,,,,İtopya,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Lian+Li+Lancool+Mesh,https://www.hepsiburada.com/ara?q=Lian+Li+Lancool+Mesh,https://www.amazon.com.tr/s?k=Lian+Li+Lancool+Mesh,https://www.teknosa.com/arama/?s=Lian+Li+Lancool+Mesh,https://www.vatanbilgisayar.com/arama/Lian+Li+Lancool+Mesh,https://www.itopya.com/Arama?q=Lian+Li+Lancool+Mesh,https://www.incehesap.com/arama/?q=Lian+Li+Lancool+Mesh,https://www.sinerji.gen.tr/arama?q=Lian+Li+Lancool+Mesh
Toplama Bilgisayar,Mouse,SteelSeries,G102 30000DPI,1200,Orta,Günlük Kullanım,,,,,USB,"30000 DPI sensör, 49g",8.5,668,2,Var,,,,,,,Epey,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=SteelSeries+G102+30000DPI,https://www.hepsiburada.com/ara?q=SteelSeries+G102+30000DPI,https://www.amazon.com.tr/s?k=SteelSeries+G102+30000DPI,https://www.teknosa.com/arama/?s=SteelSeries+G102+30000DPI,https://www.vatanbilgisayar.com/arama/SteelSeries+G102+30000DPI,https://www.itopya.com/Arama?q=SteelSeries+G102+30000DPI,https://www.incehesap.com/arama/?q=SteelSeries+G102+30000DPI,https://www.sinerji.gen.tr/arama?q=SteelSeries+G102+30000DPI
Toplama Bilgisayar,Kasa,Phanteks,CH370 White,4350,Orta,Ofis,,,,,ATX,"Mid Tower, mesh/airflow odaklı kasa",8.4,7386,2,Yok,Mid Tower,,,,,,Epey,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Phanteks+CH370+White,https://www.hepsiburada.com/ara?q=Phanteks+CH370+White,https://www.amazon.com.tr/s?k=Phanteks+CH370+White,https://www.teknosa.com/arama/?s=Phanteks+CH370+White,https://www.vatanbilgisayar.com/arama/Phanteks+CH370+White,https://www.itopya.com/Arama?q=Phanteks+CH370+White,https://www.incehesap.com/arama/?q=Phanteks+CH370+White,https://www.sinerji.gen.tr/arama?q=Phanteks+CH370+White
Toplama Bilgisayar,Klavye,Keychron,Alloy Origins Optik switch TKL,4200,Üst,Ofis,,,,,Bluetooth,Optik switch klavye,9.0,1113,2,Yok,TKL,,,,,,GamingGenTR,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Keychron+Alloy+Origins+Optik+switch+TKL,https://www.hepsiburada.com/ara?q=Keychron+Alloy+Origins+Optik+switch+TKL,https://www.amazon.com.tr/s?k=Keychron+Alloy+Origins+Optik+switch+TKL,https://www.teknosa.com/arama/?s=Keychron+Alloy+Origins+Optik+switch+TKL,https://www.vatanbilgisayar.com/arama/Keychron+Alloy+Origins+Optik+switch+TKL,https://www.itopya.com/Arama?q=Keychron+Alloy+Origins+Optik+switch+TKL,https://www.incehesap.com/arama/?q=Keychron+Alloy+Origins+Optik+switch+TKL,https://www.sinerji.gen.tr/arama?q=Keychron+Alloy+Origins+Optik+switch+TKL
Toplama Bilgisayar,SSD,Seagate,P3 Plus 500GB NVMe,1050,Giriş,Yazılım,,,3,500GB,M2 NVMe,PCIe 3.0 NVMe SSD,7.9,306,3,Yok,,,,,3390 MB/s,2729 MB/s,Epey,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Seagate+P3+Plus+500GB+NVMe,https://www.hepsiburada.com/ara?q=Seagate+P3+Plus+500GB+NVMe,https://www.amazon.com.tr/s?k=Seagate+P3+Plus+500GB+NVMe,https://www.teknosa.com/arama/?s=Seagate+P3+Plus+500GB+NVMe,https://www.vatanbilgisayar.com/arama/Seagate+P3+Plus+500GB+NVMe,https://www.itopya.com/Arama?q=Seagate+P3+Plus+500GB+NVMe,https://www.incehesap.com/arama/?q=Seagate+P3+Plus+500GB+NVMe,https://www.sinerji.gen.tr/arama?q=Seagate+P3+Plus+500GB+NVMe
Toplama Bilgisayar,Kasa,GamePower,Meshify RGB,1600,Giriş,Oyun,,,,,Micro ATX,"Mini Tower, mesh/airflow odaklı kasa",7.2,2097,2,Var,Mini Tower,,,,,,Epey,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=GamePower+Meshify+RGB,https://www.hepsiburada.com/ara?q=GamePower+Meshify+RGB,https://www.amazon.com.tr/s?k=GamePower+Meshify+RGB,https://www.teknosa.com/arama/?s=GamePower+Meshify+RGB,https://www.vatanbilgisayar.com/arama/GamePower+Meshify+RGB,https://www.itopya.com/Arama?q=GamePower+Meshify+RGB,https://www.incehesap.com/arama/?q=GamePower+Meshify+RGB,https://www.sinerji.gen.tr/arama?q=GamePower+Meshify+RGB
Toplama Bilgisayar,Güç Kaynağı,Corsair,Strider 550W 80+ Bronze,2650,Giriş,Günlük Kullanım,,,550W,,80+ Bronze,"Sabit kablo PSU, 80+ Bronze",7.3,1375,2,Yok,,,,,,,Akakçe,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Corsair+Strider+550W+80%2B+Bronze,https://www.hepsiburada.com/ara?q=Corsair+Strider+550W+80%2B+Bronze,https://www.amazon.com.tr/s?k=Corsair+Strider+550W+80%2B+Bronze,https://www.teknosa.com/arama/?s=Corsair+Strider+550W+80%2B+Bronze,https://www.vatanbilgisayar.com/arama/Corsair+Strider+550W+80%2B+Bronze,https://www.itopya.com/Arama?q=Corsair+Strider+550W+80%2B+Bronze,https://www.incehesap.com/arama/?q=Corsair+Strider+550W+80%2B+Bronze,https://www.sinerji.gen.tr/arama?q=Corsair+Strider+550W+80%2B+Bronze
Toplama Bilgisayar,Anakart,Gigabyte,PRO H610 AX DDR4,4500,Giriş,Yazılım,LGA1700,DDR4,,,LGA1700-DDR4,"Micro ATX, H610 yonga seti, DDR4 bellek desteği",7.8,2583,3,Yok,Micro ATX,,,,,,İtopya,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Gigabyte+PRO+H610+AX+DDR4,https://www.hepsiburada.com/ara?q=Gigabyte+PRO+H610+AX+DDR4,https://www.amazon.com.tr/s?k=Gigabyte+PRO+H610+AX+DDR4,https://www.teknosa.com/arama/?s=Gigabyte+PRO+H610+AX+DDR4,https://www.vatanbilgisayar.com/arama/Gigabyte+PRO+H610+AX+DDR4,https://www.itopya.com/Arama?q=Gigabyte+PRO+H610+AX+DDR4,https://www.incehesap.com/arama/?q=Gigabyte+PRO+H610+AX+DDR4,https://www.sinerji.gen.tr/arama?q=Gigabyte+PRO+H610+AX+DDR4
Toplama Bilgisayar,Anakart,Biostar,Tomahawk Z790 MAX DDR5,12700,Üst,Yazılım,LGA1700,DDR5,,,LGA1700-DDR5,"Micro ATX, Z790 yonga seti, DDR5 bellek desteği",8.4,6284,3,Var,Micro ATX,,,,,,İtopya,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Biostar+Tomahawk+Z790+MAX+DDR5,https://www.hepsiburada.com/ara?q=Biostar+Tomahawk+Z790+MAX+DDR5,https://www.amazon.com.tr/s?k=Biostar+Tomahawk+Z790+MAX+DDR5,https://www.teknosa.com/arama/?s=Biostar+Tomahawk+Z790+MAX+DDR5,https://www.vatanbilgisayar.com/arama/Biostar+Tomahawk+Z790+MAX+DDR5,https://www.itopya.com/Arama?q=Biostar+Tomahawk+Z790+MAX+DDR5,https://www.incehesap.com/arama/?q=Biostar+Tomahawk+Z790+MAX+DDR5,https://www.sinerji.gen.tr/arama?q=Biostar+Tomahawk+Z790+MAX+DDR5
Toplama Bilgisayar,Soğutucu,ID-Cooling,Frozr,1600,Orta,Ofis,,,,,AM4-AM5-LGA1700,Hava soğutma,8.4,444,5,Yok,,,,,,,İncehesap,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=ID-Cooling+Frozr,https://www.hepsiburada.com/ara?q=ID-Cooling+Frozr,https://www.amazon.com.tr/s?k=ID-Cooling+Frozr,https://www.teknosa.com/arama/?s=ID-Cooling+Frozr,https://www.vatanbilgisayar.com/arama/ID-Cooling+Frozr,https://www.itopya.com/Arama?q=ID-Cooling+Frozr,https://www.incehesap.com/arama/?q=ID-Cooling+Frozr,https://www.sinerji.gen.tr/arama?q=ID-Cooling+Frozr
Toplama Bilgisayar,Soğutucu,Corsair,NH-D15,1700,Orta,Yazılım,,,,,AM4-AM5-LGA1700,Hava soğutma,7.4,7620,5,Yok,,,,,,,Epey,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Corsair+NH-D15,https://www.hepsiburada.com/ara?q=Corsair+NH-D15,https://www.amazon.com.tr/s?k=Corsair+NH-D15,https://www.teknosa.com/arama/?s=Corsair+NH-D15,https://www.vatanbilgisayar.com/arama/Corsair+NH-D15,https://www.itopya.com/Arama?q=Corsair+NH-D15,https://www.incehesap.com/arama/?q=Corsair+NH-D15,https://www.sinerji.gen.tr/arama?q=Corsair+NH-D15
Toplama Bilgisayar,Mouse,Darmoshark,Pulsefire 16000DPI,4050,Üst,Oyun,,,,,Kablosuz,"16000 DPI sensör, 49g",9.2,774,2,Var,,,,,,,GamingGenTR,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Darmoshark+Pulsefire+16000DPI,https://www.hepsiburada.com/ara?q=Darmoshark+Pulsefire+16000DPI,https://www.amazon.com.tr/s?k=Darmoshark+Pulsefire+16000DPI,https://www.teknosa.com/arama/?s=Darmoshark+Pulsefire+16000DPI,https://www.vatanbilgisayar.com/arama/Darmoshark+Pulsefire+16000DPI,https://www.itopya.com/Arama?q=Darmoshark+Pulsefire+16000DPI,https://www.incehesap.com/arama/?q=Darmoshark+Pulsefire+16000DPI,https://www.sinerji.gen.tr/arama?q=Darmoshark+Pulsefire+16000DPI
Toplama Bilgisayar,RAM,Corsair,T-Force Delta 8GB 1x8GB DDR5 5600MHz,1200,Giriş,Yazılım,,DDR5,,8GB,DDR5,5600MHz bellek kiti,7.9,455,5,Yok,,,,,,,GamingGenTR,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Corsair+T-Force+Delta+8GB+1x8GB+DDR5+5600MHz,https://www.hepsiburada.com/ara?q=Corsair+T-Force+Delta+8GB+1x8GB+DDR5+5600MHz,https://www.amazon.com.tr/s?k=Corsair+T-Force+Delta+8GB+1x8GB+DDR5+5600MHz,https://www.teknosa.com/arama/?s=Corsair+T-Force+Delta+8GB+1x8GB+DDR5+5600MHz,https://www.vatanbilgisayar.com/arama/Corsair+T-Force+Delta+8GB+1x8GB+DDR5+5600MHz,https://www.itopya.com/Arama?q=Corsair+T-Force+Delta+8GB+1x8GB+DDR5+5600MHz,https://www.incehesap.com/arama/?q=Corsair+T-Force+Delta+8GB+1x8GB+DDR5+5600MHz,https://www.sinerji.gen.tr/arama?q=Corsair+T-Force+Delta+8GB+1x8GB+DDR5+5600MHz
Toplama Bilgisayar,HDD,WD,Barracuda 8TB 7200RPM,8500,Üst,Ofis,,,9,8TB,SATA,3.5 inç mekanik disk,9.2,6708,2,Yok,,,,,,,İncehesap,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=WD+Barracuda+8TB+7200RPM,https://www.hepsiburada.com/ara?q=WD+Barracuda+8TB+7200RPM,https://www.amazon.com.tr/s?k=WD+Barracuda+8TB+7200RPM,https://www.teknosa.com/arama/?s=WD+Barracuda+8TB+7200RPM,https://www.vatanbilgisayar.com/arama/WD+Barracuda+8TB+7200RPM,https://www.itopya.com/Arama?q=WD+Barracuda+8TB+7200RPM,https://www.incehesap.com/arama/?q=WD+Barracuda+8TB+7200RPM,https://www.sinerji.gen.tr/arama?q=WD+Barracuda+8TB+7200RPM
Toplama Bilgisayar,Ekran Kartı,MSI,RTX 4080 Super Pulse 16GB,92000,Amiral,Yapay Zeka,,GDDR6X,320,16GB,PCIe,4K oyun ve render,9.4,939,3,Var,,,,16GB,,,Vatan,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=MSI+RTX+4080+Super+Pulse+16GB,https://www.hepsiburada.com/ara?q=MSI+RTX+4080+Super+Pulse+16GB,https://www.amazon.com.tr/s?k=MSI+RTX+4080+Super+Pulse+16GB,https://www.teknosa.com/arama/?s=MSI+RTX+4080+Super+Pulse+16GB,https://www.vatanbilgisayar.com/arama/MSI+RTX+4080+Super+Pulse+16GB,https://www.itopya.com/Arama?q=MSI+RTX+4080+Super+Pulse+16GB,https://www.incehesap.com/arama/?q=MSI+RTX+4080+Super+Pulse+16GB,https://www.sinerji.gen.tr/arama?q=MSI+RTX+4080+Super+Pulse+16GB
Toplama Bilgisayar,Soğutucu,Thermalright,LT720,10900,Amiral,Tasarım,,,,,AM4-AM5-LGA1700,360mm sıvı soğutma,9.0,590,2,Var,360mm,,,,,,GamingGenTR,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Thermalright+LT720,https://www.hepsiburada.com/ara?q=Thermalright+LT720,https://www.amazon.com.tr/s?k=Thermalright+LT720,https://www.teknosa.com/arama/?s=Thermalright+LT720,https://www.vatanbilgisayar.com/arama/Thermalright+LT720,https://www.itopya.com/Arama?q=Thermalright+LT720,https://www.incehesap.com/arama/?q=Thermalright+LT720,https://www.sinerji.gen.tr/arama?q=Thermalright+LT720
Toplama Bilgisayar,Klavye,MSI,ROG Strix Scope Wireless Mekanik 60%,775,Giriş,Yazılım,,,,,Kablosuz,Mekanik klavye,7.0,3052,2,Yok,60%,,,,,,Vatan,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=MSI+ROG+Strix+Scope+Wireless+Mekanik+60%25,https://www.hepsiburada.com/ara?q=MSI+ROG+Strix+Scope+Wireless+Mekanik+60%25,https://www.amazon.com.tr/s?k=MSI+ROG+Strix+Scope+Wireless+Mekanik+60%25,https://www.teknosa.com/arama/?s=MSI+ROG+Strix+Scope+Wireless+Mekanik+60%25,https://www.vatanbilgisayar.com/arama/MSI+ROG+Strix+Scope+Wireless+Mekanik+60%25,https://www.itopya.com/Arama?q=MSI+ROG+Strix+Scope+Wireless+Mekanik+60%25,https://www.incehesap.com/arama/?q=MSI+ROG+Strix+Scope+Wireless+Mekanik+60%25,https://www.sinerji.gen.tr/arama?q=MSI+ROG+Strix+Scope+Wireless+Mekanik+60%25
Toplama Bilgisayar,Klavye,Akko,RK61 Mekanik TKL,1600,Orta,Ofis,,,,,USB,Mekanik klavye,8.8,4474,2,Yok,TKL,,,,,,Akakçe,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Akko+RK61+Mekanik+TKL,https://www.hepsiburada.com/ara?q=Akko+RK61+Mekanik+TKL,https://www.amazon.com.tr/s?k=Akko+RK61+Mekanik+TKL,https://www.teknosa.com/arama/?s=Akko+RK61+Mekanik+TKL,https://www.vatanbilgisayar.com/arama/Akko+RK61+Mekanik+TKL,https://www.itopya.com/Arama?q=Akko+RK61+Mekanik+TKL,https://www.incehesap.com/arama/?q=Akko+RK61+Mekanik+TKL,https://www.sinerji.gen.tr/arama?q=Akko+RK61+Mekanik+TKL
Toplama Bilgisayar,Monitör,ASUS,Nitro 23.8 inç 3840x2160 240Hz,62000,Amiral,Oyun,,,25,,HDMI-DP,"Mini LED panel, 240Hz",8.9,5730,2,Yok,23.8 inç,3840x2160,240Hz,,,,Epey,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=ASUS+Nitro+23.8+in%C3%A7+3840x2160+240Hz,https://www.hepsiburada.com/ara?q=ASUS+Nitro+23.8+in%C3%A7+3840x2160+240Hz,https://www.amazon.com.tr/s?k=ASUS+Nitro+23.8+in%C3%A7+3840x2160+240Hz,https://www.teknosa.com/arama/?s=ASUS+Nitro+23.8+in%C3%A7+3840x2160+240Hz,https://www.vatanbilgisayar.com/arama/ASUS+Nitro+23.8+in%C3%A7+3840x2160+240Hz,https://www.itopya.com/Arama?q=ASUS+Nitro+23.8+in%C3%A7+3840x2160+240Hz,https://www.incehesap.com/arama/?q=ASUS+Nitro+23.8+in%C3%A7+3840x2160+240Hz,https://www.sinerji.gen.tr/arama?q=ASUS+Nitro+23.8+in%C3%A7+3840x2160+240Hz
Toplama Bilgisayar,Ekran Kartı,XFX,RX 7600 Merc 8GB,16100,Orta,Günlük Kullanım,,GDDR6,165,8GB,PCIe,1080p oyun,7.5,6693,3,Var,,,,8GB,,,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=XFX+RX+7600+Merc+8GB,https://www.hepsiburada.com/ara?q=XFX+RX+7600+Merc+8GB,https://www.amazon.com.tr/s?k=XFX+RX+7600+Merc+8GB,https://www.teknosa.com/arama/?s=XFX+RX+7600+Merc+8GB,https://www.vatanbilgisayar.com/arama/XFX+RX+7600+Merc+8GB,https://www.itopya.com/Arama?q=XFX+RX+7600+Merc+8GB,https://www.incehesap.com/arama/?q=XFX+RX+7600+Merc+8GB,https://www.sinerji.gen.tr/arama?q=XFX+RX+7600+Merc+8GB
Toplama Bilgisayar,Kasa,Phanteks,MAG Forge RGB,2500,Orta,Oyun,,,,,Micro ATX,"Full Tower, mesh/airflow odaklı kasa",8.1,1013,2,Var,Full Tower,,,,,,Akakçe,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Phanteks+MAG+Forge+RGB,https://www.hepsiburada.com/ara?q=Phanteks+MAG+Forge+RGB,https://www.amazon.com.tr/s?k=Phanteks+MAG+Forge+RGB,https://www.teknosa.com/arama/?s=Phanteks+MAG+Forge+RGB,https://www.vatanbilgisayar.com/arama/Phanteks+MAG+Forge+RGB,https://www.itopya.com/Arama?q=Phanteks+MAG+Forge+RGB,https://www.incehesap.com/arama/?q=Phanteks+MAG+Forge+RGB,https://www.sinerji.gen.tr/arama?q=Phanteks+MAG+Forge+RGB
Toplama Bilgisayar,Anakart,Colorful,Mortar H610 DDR4,4300,Giriş,Günlük Kullanım,LGA1700,DDR4,,,LGA1700-DDR4,"Micro ATX, H610 yonga seti, DDR4 bellek desteği",7.1,1287,3,Var,Micro ATX,,,,,,İncehesap,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Colorful+Mortar+H610+DDR4,https://www.hepsiburada.com/ara?q=Colorful+Mortar+H610+DDR4,https://www.amazon.com.tr/s?k=Colorful+Mortar+H610+DDR4,https://www.teknosa.com/arama/?s=Colorful+Mortar+H610+DDR4,https://www.vatanbilgisayar.com/arama/Colorful+Mortar+H610+DDR4,https://www.itopya.com/Arama?q=Colorful+Mortar+H610+DDR4,https://www.incehesap.com/arama/?q=Colorful+Mortar+H610+DDR4,https://www.sinerji.gen.tr/arama?q=Colorful+Mortar+H610+DDR4
Toplama Bilgisayar,Klavye,Logitech,CK RGB Optik switch 60%,1600,Orta,Oyun,,,,,Bluetooth,Optik switch klavye,7.5,1467,2,Var,60%,,,,,,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Logitech+CK+RGB+Optik+switch+60%25,https://www.hepsiburada.com/ara?q=Logitech+CK+RGB+Optik+switch+60%25,https://www.amazon.com.tr/s?k=Logitech+CK+RGB+Optik+switch+60%25,https://www.teknosa.com/arama/?s=Logitech+CK+RGB+Optik+switch+60%25,https://www.vatanbilgisayar.com/arama/Logitech+CK+RGB+Optik+switch+60%25,https://www.itopya.com/Arama?q=Logitech+CK+RGB+Optik+switch+60%25,https://www.incehesap.com/arama/?q=Logitech+CK+RGB+Optik+switch+60%25,https://www.sinerji.gen.tr/arama?q=Logitech+CK+RGB+Optik+switch+60%25
Toplama Bilgisayar,Mouse,Cooler Master,Model O Mini 30000DPI,1850,Orta,Oyun,,,,,Kablosuz,"30000 DPI sensör, 49g",8.3,8239,2,Yok,,,,,,,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Cooler+Master+Model+O+Mini+30000DPI,https://www.hepsiburada.com/ara?q=Cooler+Master+Model+O+Mini+30000DPI,https://www.amazon.com.tr/s?k=Cooler+Master+Model+O+Mini+30000DPI,https://www.teknosa.com/arama/?s=Cooler+Master+Model+O+Mini+30000DPI,https://www.vatanbilgisayar.com/arama/Cooler+Master+Model+O+Mini+30000DPI,https://www.itopya.com/Arama?q=Cooler+Master+Model+O+Mini+30000DPI,https://www.incehesap.com/arama/?q=Cooler+Master+Model+O+Mini+30000DPI,https://www.sinerji.gen.tr/arama?q=Cooler+Master+Model+O+Mini+30000DPI
Toplama Bilgisayar,Mouse,Corsair,FK2 Wireless 16000DPI,6100,Amiral,Ofis,,,,,USB,"16000 DPI sensör, 63g",9.9,1893,2,Var,,,,,,,İtopya,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Corsair+FK2+Wireless+16000DPI,https://www.hepsiburada.com/ara?q=Corsair+FK2+Wireless+16000DPI,https://www.amazon.com.tr/s?k=Corsair+FK2+Wireless+16000DPI,https://www.teknosa.com/arama/?s=Corsair+FK2+Wireless+16000DPI,https://www.vatanbilgisayar.com/arama/Corsair+FK2+Wireless+16000DPI,https://www.itopya.com/Arama?q=Corsair+FK2+Wireless+16000DPI,https://www.incehesap.com/arama/?q=Corsair+FK2+Wireless+16000DPI,https://www.sinerji.gen.tr/arama?q=Corsair+FK2+Wireless+16000DPI
