ID,Kategori,Model,Segment,Kullanım Amacı,İşlemci,RAM,Depolama,GPU,Ekran,İşletim Sistemi,Fiyat (TL),Batarya (mAh),Kamera (MP),5G,NFC,Su Geçirmezlik,GPS,Kulaklık Tipi,Sürücü Boyutu,Frekans Yanıtı,Gürültü Engelleme,Mikrofon,Bağlantı Türü,Pil Ömrü,Pil Ömrü (gün)
10277,Tablet,Apple iPad Pro M4 13 Wi-Fi 256GB,Pro,3D Modelleme,Apple M4,16GB,256GB,,13 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,68549,,,Hayır,Evet,IP68,,,,,,,,,
10278,Telefon,iPhone 16 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,70600,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
10279,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,55948,,,,,,,,,,,,,,
10280,Telefon,Samsung Galaxy S25 128GB,Amiral Gemisi,Günlük Kullanım,Snapdragon 8 Elite,12GB,128GB,,6.2 inç Dynamic AMOLED 2X 120Hz,Android 15,46196,4000,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
10281,Telefon,Sony Xperia 1 VII 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.5 inç 4K OLED 120Hz,Android 15,61556,5000,52+12+12MP,Evet,Evet,IP65,,,,,,,,,
10282,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,55541,,,,,,,,,,,,,,
10283,Akıllı Saat / Bileklik,Garmin Forerunner 965,Premium & Spor,Koşu & Antrenman,Garmin özel,,,,,Garmin OS,22027,,,,,5ATM,Evet,,,,,,,,23
10284,Telefon,iPhone 17 Pro 512GB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,512GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,130953,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
10285,Bilgisayar,Dell XPS 15 i7 RTX 4070,İş İstasyonu,İçerik Üretimi,Intel Core i7-13700H,32GB,1TB SSD,NVIDIA RTX 4070 8GB,15.6 inç 3.5K OLED 60Hz,Windows 11 Pro,89213,,,,,,,,,,,,,,
10286,Tablet,Samsung Galaxy Tab S9+ Wi-Fi 256GB,Pro,Profesyonel Tasarım,Snapdragon 8 Gen 2,12GB,256GB,,12.4 inç Dynamic AMOLED 2X 120Hz,Android 14,37795,,,Hayır,Evet,IP68,,,,,,,,,
10287,Telefon,Samsung Galaxy S24 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Gen 3,12GB,512GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,76382,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
10288,Akıllı Saat / Bileklik,Garmin Venu 3,Üst Segment,Sağlık Takibi,Garmin özel,,,,,Garmin OS,18041,,,,,5ATM,Evet,,,,,,,,14
10289,Bilgisayar,Acer Aspire 3 A315 i3,Bütçe,Öğrenci,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,12833,,,,,,,,,,,,,,
10290,Bilgisayar,Lenovo Legion 5 Pro RTX 4070,Oyuncu,Oyun & Akış,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4070 8GB,16 inç QHD IPS 165Hz,Windows 11 Home,58520,,,,,,,,,,,,,,
10291,Bilgisayar,Asus ROG Strix G16 RTX 4070,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,1TB SSD,NVIDIA RTX 4070 8GB,16 inç QHD+ IPS 240Hz,Windows 11 Home,63386,,,,,,,,,,,,,,
10292,Bilgisayar,Asus VivoBook 15 i3,Bütçe,Öğrenci,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,12655,,,,,,,,,,,,,,
10293,Kulaklık,Apple AirPods Pro 2 USB-C,Üst Segment,Günlük Kullanım,,,,,,,11619,,,,,,,TWS,6mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.3,6 saat (kılıfla 30),
10294,Tablet,Samsung Galaxy Tab S9 Wi-Fi 128GB,Üst Segment,Medya Tüketimi,Snapdragon 8 Gen 2,8GB,128GB,,11 inç Dynamic AMOLED 2X 120Hz,Android 14,23953,,,Hayır,Evet,IP68,,,,,,,,,
10295,Bilgisayar,MacBook Pro M4 Max 16 48GB,İş İstasyonu,3D Modelleme,Apple M4 Max,48GB,1TB SSD,Apple M4 Max GPU 40-core,16.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,165564,,,,,,,,,,,,,,
10296,Kulaklık,Sony LinkBuds S,Orta Segment,Spor & Koşu,,,,,,,5020,,,,,,,TWS,5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,6 saat (kılıfla 20),
10297,Kulaklık,Bose QC Ultra Earbuds,Üst Segment,İş & Video Konferans,,,,,,,11070,,,,,,,TWS,9.3mm,10Hz-16kHz,CustomTune ANC,6 mikrofon,Bluetooth 5.3,6 saat (kılıfla 24),
10298,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,56835,,,,,,,,,,,,,,
10299,Tablet,Samsung Galaxy Tab S9 FE Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,14130,,,Hayır,Evet,IP68,,,,,,,,,
10300,Akıllı Saat / Bileklik,Huawei Watch GT 5 41mm,Orta Segment,Fitness & Spor,Kirin A2,,,,,HarmonyOS Watch,5994,,,,,5ATM,Evet,,,,,,,,7
10301,Bilgisayar,Asus ProArt Studiobook 16,İş İstasyonu,3D Modelleme,Intel Core i9-13980HX,64GB,2TB SSD,NVIDIA RTX 4080 12GB,16 inç 3.2K OLED 120Hz,Windows 11 Pro,124518,,,,,,,,,,,,,,
10302,Kulaklık,Anker Soundcore Space Q45,Orta Segment,Günlük Kullanım,,,,,,,2979,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,LDAC ANC,4 mikrofon,Bluetooth 5.3,40 saat,
10303,Bilgisayar,Asus ROG Strix G16 RTX 4070,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,1TB SSD,NVIDIA RTX 4070 8GB,16 inç QHD+ IPS 240Hz,Windows 11 Home,60822,,,,,,,,,,,,,,
10304,Kulaklık,Beyerdynamic DT 990 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5430,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Açık Arka,—,Kablolu 3.5mm/6.35mm,—,
10305,Tablet,Samsung Galaxy Tab A9+ Wi-Fi 64GB,Giriş Seviyesi,Uzaktan Eğitim,Snapdragon 695,4GB,64GB,,11 inç TFT IPS 90Hz,Android 13,8089,,,Hayır,Hayır,Yok,,,,,,,,,
10306,Telefon,iPhone 16 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,69170,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
10307,Kulaklık,Beyerdynamic DT 990 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5611,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Açık Arka,—,Kablolu 3.5mm/6.35mm,—,
10308,Kulaklık,Beyerdynamic DT 990 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5505,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Açık Arka,—,Kablolu 3.5mm/6.35mm,—,
10309,Telefon,Samsung Galaxy S25 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,74257,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
10310,Tablet,Apple iPad 10. nesil Wi-Fi 64GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,64GB,,10.9 inç IPS 60Hz,iPadOS 18,14936,,,Hayır,Evet,IP68,,,,,,,,,
10311,Telefon,Redmi Note 14 Pro+ 5G 256GB,Orta Segment,Fotoğrafçılık,MediaTek Dimensity 9200+,12GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,19941,5110,200+8+2MP,Evet,Evet,IP68,,,,,,,,,
10312,Bilgisayar,Lenovo Legion 5 Pro RTX 4070,Oyuncu,Oyun & Akış,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4070 8GB,16 inç QHD IPS 165Hz,Windows 11 Home,57653,,,,,,,,,,,,,,
10313,Bilgisayar,Dell Inspiron 15 5000 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,21140,,,,,,,,,,,,,,
10314,Telefon,Redmi Note 14 Pro+ 5G 256GB,Orta Segment,Fotoğrafçılık,MediaTek Dimensity 9200+,12GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,19849,5110,200+8+2MP,Evet,Evet,IP68,,,,,,,,,
10315,Tablet,Samsung Galaxy Tab S9 FE Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,13827,,,Hayır,Evet,IP68,,,,,,,,,
10316,Kulaklık,JBL Tour One M2,Üst Segment,Müzik Dinleme,,,,,,,8004,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.3,30 saat,
10317,Kulaklık,Apple AirPods Pro 3,Üst Segment,Günlük Kullanım,,,,,,,11465,,,,,,,TWS,6mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.4,8 saat (kılıfla 36),
10318,Telefon,iPhone Air 256GB,Amiral Gemisi,Günlük Kullanım,Apple A19 Pro,8GB,256GB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,109129,2830,48MP,Evet,Evet,IP68,,,,,,,,,
10319,Bilgisayar,Dell XPS 15 i7 RTX 4070,İş İstasyonu,İçerik Üretimi,Intel Core i7-13700H,32GB,1TB SSD,NVIDIA RTX 4070 8GB,15.6 inç 3.5K OLED 60Hz,Windows 11 Pro,86989,,,,,,,,,,,,,,
10320,Akıllı Saat / Bileklik,Xiaomi Smart Band 9,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1199,,,,,5ATM,Hayır,,,,,,,,21
10321,Tablet,Samsung Galaxy Tab S9 FE 5G 128GB,Orta Segment,Uzaktan Eğitim,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,16473,,,Evet,Evet,IP68,,,,,,,,,
10322,Kulaklık,Shure AONIC 50 Gen 2,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,14159,,,,,,,Kulak Üstü Kablosuz,50mm,20Hz-22kHz,ANC,3 mikrofon,Bluetooth 5.0,20 saat,
10323,Bilgisayar,Samsung Galaxy Book4 15 i5,Orta Segment,Günlük Kullanım,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,23285,,,,,,,,,,,,,,
10324,Kulaklık,Sony WF-1000XM5,Üst Segment,Müzik Dinleme,,,,,,,9868,,,,,,,TWS,8.4mm,20Hz-20kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.3,8 saat (kılıfla 24),
10325,Bilgisayar,HP Envy x360 14 Ryzen 7,Üst Segment,İçerik Üretimi,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,32697,,,,,,,,,,,,,,
10326,Telefon,iPhone 17 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,118999,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
10327,Tablet,Apple iPad Air M2 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Apple M2,8GB,256GB,,11 inç Liquid Retina IPS 60Hz,iPadOS 18,30090,,,Hayır,Evet,IP68,,,,,,,,,
10328,Bilgisayar,Lenovo IdeaPad Slim 3 Ryzen 5,Orta Segment,Öğrenci,AMD Ryzen 5 7520U,16GB,512GB SSD,AMD Radeon 610M,15.6 inç FHD IPS 60Hz,Windows 11 Home,22006,,,,,,,,,,,,,,
10329,Telefon,OnePlus Nord 4 256GB,Üst Segment,Günlük Kullanım,Snapdragon 7+ Gen 3,12GB,256GB,,6.74 inç AMOLED 120Hz,Android 15,19306,5500,50+8MP,Evet,Evet,IP65,,,,,,,,,
10330,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,56790,,,,,,,,,,,,,,
10331,Kulaklık,Samsung Galaxy Buds 4 Pro,Üst Segment,Günlük Kullanım,,,,,,,10453,,,,,,,TWS,10.5mm,20Hz-24kHz,Adaptif ANC,4 mikrofon,Bluetooth 5.4,6 saat (kılıfla 26),
10332,Telefon,Samsung Galaxy S25 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,74512,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
10333,Akıllı Saat / Bileklik,Garmin Fenix 8 Solar 47mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,38418,,,,,10ATM,Evet,,,,,,,,16
10334,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,16650,,,,,10ATM,Evet,,,,,,,,40
10335,Bilgisayar,Microsoft Surface Laptop 6 i5,Üst Segment,İş,Intel Core Ultra 5 135H,16GB,512GB SSD,Intel Arc Graphics,13.5 inç PixelSense 120Hz,Windows 11 Home,46237,,,,,,,,,,,,,,
10336,Telefon,POCO F7 Ultra 512GB,Üst Segment,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.67 inç AMOLED 120Hz,Android 15,37938,5300,50+50+8MP,Evet,Evet,IP64,,,,,,,,,
10337,Telefon,Google Pixel 9a 128GB,Üst Segment,Günlük Kullanım,Google Tensor G4,8GB,128GB,,6.1 inç OLED 120Hz,Android 15,25689,5100,48+13MP,Evet,Evet,IP67,,,,,,,,,
10338,Tablet,Apple iPad Air M2 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Apple M2,8GB,256GB,,11 inç Liquid Retina IPS 60Hz,iPadOS 18,29975,,,Hayır,Evet,IP68,,,,,,,,,
10339,Bilgisayar,Dell Inspiron 15 3520 i3,Bütçe,Öğrenci,Intel Core i3-1215U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13023,,,,,,,,,,,,,,
10340,Akıllı Saat / Bileklik,Apple Watch SE 2 44mm GPS+Cellular,Orta Segment,Günlük Kullanım,Apple S8,,,,,watchOS 11,16707,,,,,WR50,Evet,,,,,,,,18
10341,Telefon,iPhone 17e 512GB,Amiral Gemisi,Günlük Kullanım,Apple A19,8GB,512GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,74450,3279,48MP,Evet,Evet,IP68,,,,,,,,,
10342,Kulaklık,Sony LinkBuds S,Orta Segment,Spor & Koşu,,,,,,,4969,,,,,,,TWS,5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,6 saat (kılıfla 20),
10343,Tablet,Huawei MatePad 11.5 S Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Kirin 9000W,8GB,128GB,,11.5 inç IPS 144Hz,HarmonyOS 4,14685,,,Hayır,Hayır,IP54,,,,,,,,,
10344,Kulaklık,JBL Tour Pro 3,Üst Segment,İş & Video Konferans,,,,,,,7452,,,,,,,TWS,10mm,20Hz-20kHz,Hibrit ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 40),
10345,Telefon,Nothing Phone (3) 256GB,Üst Segment,Günlük Kullanım,Snapdragon 8s Gen 4,12GB,256GB,,6.77 inç LTPO AMOLED 120Hz,Android 15,28285,5000,50+50MP,Evet,Evet,IP54,,,,,,,,,
10346,Bilgisayar,HP Envy x360 14 Ryzen 7,Üst Segment,İçerik Üretimi,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,32972,,,,,,,,,,,,,,
10347,Kulaklık,JBL Tune 770NC,Giriş Seviyesi,Bütçe Dostu,,,,,,,2980,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,38 saat,
10348,Telefon,Redmi 14C 128GB,Giriş Seviyesi,Bütçe Dostu,MediaTek Helio G91 Ultra,4GB,128GB,,6.88 inç IPS LCD 90Hz,Android 14,5526,5160,50+0.08MP,Hayır,Hayır,Yok,,,,,,,,,
10349,Kulaklık,JBL Live 770NC,Orta Segment,Günlük Kullanım,,,,,,,4452,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,40 saat,
10350,Bilgisayar,MSI Katana 15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,43358,,,,,,,,,,,,,,
10351,Kulaklık,Sony LinkBuds S,Orta Segment,Spor & Koşu,,,,,,,5027,,,,,,,TWS,5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,6 saat (kılıfla 20),
10352,Kulaklık,Beyerdynamic DT 990 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5383,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Açık Arka,—,Kablolu 3.5mm/6.35mm,—,
10353,Bilgisayar,HP Victus 16 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7535HS,16GB,512GB SSD,NVIDIA RTX 4060 8GB,16.1 inç FHD IPS 144Hz,Windows 11 Home,40371,,,,,,,,,,,,,,
10354,Bilgisayar,HP Victus 16 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7535HS,16GB,512GB SSD,NVIDIA RTX 4060 8GB,16.1 inç FHD IPS 144Hz,Windows 11 Home,40322,,,,,,,,,,,,,,
10355,Telefon,Redmi Note 14 128GB,Orta Segment,Bütçe Dostu,Snapdragon 685,8GB,128GB,,6.67 inç IPS LCD 90Hz,Android 14,8914,5500,108+2+2MP,Hayır,Hayır,IP54,,,,,,,,,
10356,Telefon,iPhone 16 256GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,256GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,79202,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
10357,Telefon,Samsung Galaxy S25 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Elite,12GB,512GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,80532,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
10358,Tablet,Microsoft Surface Pro 10 i5 256GB,Pro,İş,Intel Core Ultra 5 134U,16GB,256GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,57065,,,Hayır,Evet,Yok,,,,,,,,,
10359,Kulaklık,Audio-Technica ATH-M50x,Üst Segment,Stüdyo Kayıt,,,,,,,6391,,,,,,,Kulak Üstü Kablolu,45mm,15Hz-28kHz,Pasif Yalıtım,—,Kablolu 3.5mm/6.35mm,—,
10360,Tablet,Huawei MatePad Pro 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Kirin 9000s,8GB,256GB,,11 inç OLED 144Hz,HarmonyOS 4,24894,,,Hayır,Evet,IP54,,,,,,,,,
10361,Telefon,POCO F7 Ultra 512GB,Üst Segment,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.67 inç AMOLED 120Hz,Android 15,38406,5300,50+50+8MP,Evet,Evet,IP64,,,,,,,,,
10362,Telefon,iPhone 17 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,256GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,84246,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
10363,Bilgisayar,Dell Inspiron 15 3520 i3,Bütçe,Öğrenci,Intel Core i3-1215U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,12722,,,,,,,,,,,,,,
10364,Telefon,Motorola Edge 60 Pro 256GB,Üst Segment,Fotoğrafçılık,Snapdragon 7 Gen 4,12GB,256GB,,6.7 inç pOLED 144Hz,Android 15,21606,4500,50+13+10MP,Evet,Evet,IP68,,,,,,,,,
10365,Akıllı Saat / Bileklik,Samsung Galaxy Watch Ultra LTE,Premium & Spor,Outdoor & Doğa,Exynos W1000,,,,,Wear OS 5,25804,,,,,10ATM,Evet,,,,,,,,48
10366,Akıllı Saat / Bileklik,Garmin Fenix 8 Solar 47mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,37661,,,,,10ATM,Evet,,,,,,,,16
10367,Bilgisayar,Dell G15 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 165Hz,Windows 11 Home,39791,,,,,,,,,,,,,,
10368,Tablet,Apple iPad Pro M4 11 5G 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,57500,,,Evet,Evet,IP68,,,,,,,,,
10369,Kulaklık,Samsung Galaxy Buds 4 Pro,Üst Segment,Günlük Kullanım,,,,,,,10228,,,,,,,TWS,10.5mm,20Hz-24kHz,Adaptif ANC,4 mikrofon,Bluetooth 5.4,6 saat (kılıfla 26),
10370,Bilgisayar,MacBook Air M4 15 16GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,16GB,256GB SSD,Apple M4 GPU 10-core,15.3 inç Liquid Retina 60Hz,macOS Sequoia,53801,,,,,,,,,,,,,,
10371,Kulaklık,Sony WF-1000XM5,Üst Segment,Müzik Dinleme,,,,,,,9796,,,,,,,TWS,8.4mm,20Hz-20kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.3,8 saat (kılıfla 24),
10372,Akıllı Saat / Bileklik,Garmin Venu 3,Üst Segment,Sağlık Takibi,Garmin özel,,,,,Garmin OS,17930,,,,,5ATM,Evet,,,,,,,,14
10373,Bilgisayar,MacBook Pro M4 14 16GB,İş İstasyonu,Yazılım Geliştirme,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,68011,,,,,,,,,,,,,,
10374,Kulaklık,JBL Live 770NC,Orta Segment,Günlük Kullanım,,,,,,,4456,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,40 saat,
10375,Telefon,Moto G86 256GB,Orta Segment,Günlük Kullanım,Snapdragon 695,8GB,256GB,,6.67 inç pOLED 120Hz,Android 15,11162,5000,50+8MP,Evet,Evet,IP52,,,,,,,,,
10376,Akıllı Saat / Bileklik,Garmin Fenix 8 AMOLED 51mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,42161,,,,,10ATM,Evet,,,,,,,,29
10377,Bilgisayar,Dell XPS 15 i7 RTX 4070,İş İstasyonu,İçerik Üretimi,Intel Core i7-13700H,32GB,1TB SSD,NVIDIA RTX 4070 8GB,15.6 inç 3.5K OLED 60Hz,Windows 11 Pro,90035,,,,,,,,,,,,,,
10378,Bilgisayar,MacBook Pro M4 Pro 14 24GB,İş İstasyonu,Yazılım Geliştirme,Apple M4 Pro,24GB,512GB SSD,Apple M4 Pro GPU 20-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,94963,,,,,,,,,,,,,,
10379,Tablet,Apple iPad Air M2 13 Wi-Fi 128GB,Üst Segment,Profesyonel Tasarım,Apple M2,8GB,128GB,,13 inç Liquid Retina IPS 60Hz,iPadOS 18,34555,,,Hayır,Evet,IP68,,,,,,,,,
10380,Bilgisayar,Acer Swift Go 14 Ryzen 5,Orta Segment,Uzaktan Çalışma,AMD Ryzen 5 7530U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,22924,,,,,,,,,,,,,,
10381,Bilgisayar,Lenovo IdeaPad Slim 3 Ryzen 5,Orta Segment,Öğrenci,AMD Ryzen 5 7520U,16GB,512GB SSD,AMD Radeon 610M,15.6 inç FHD IPS 60Hz,Windows 11 Home,22561,,,,,,,,,,,,,,
10382,Bilgisayar,Lenovo Legion 5 Pro RTX 4070,Oyuncu,Oyun & Akış,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4070 8GB,16 inç QHD IPS 165Hz,Windows 11 Home,58628,,,,,,,,,,,,,,
10383,Bilgisayar,MacBook Air M4 13 8GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,8GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,44957,,,,,,,,,,,,,,
10384,Telefon,Nothing CMF Phone 2 128GB,Giriş Seviyesi,Bütçe Dostu,MediaTek Dimensity 7300 Pro,6GB,128GB,,6.67 inç AMOLED 120Hz,Android 15,8520,5000,50+2MP,Evet,Hayır,IP52,,,,,,,,,
10385,Akıllı Saat / Bileklik,Polar Vantage V3,Premium & Spor,Profesyonel Spor,—,,,,,Polar OS,21980,,,,,10ATM,Evet,,,,,,,,43
10386,Kulaklık,Shure AONIC 50 Gen 2,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,14118,,,,,,,Kulak Üstü Kablosuz,50mm,20Hz-22kHz,ANC,3 mikrofon,Bluetooth 5.0,20 saat,
10387,Telefon,Samsung Galaxy S25 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,74133,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
10388,Bilgisayar,Lenovo Legion 5 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,42227,,,,,,,,,,,,,,
10389,Tablet,Samsung Galaxy Tab A9+ Wi-Fi 64GB,Giriş Seviyesi,Uzaktan Eğitim,Snapdragon 695,4GB,64GB,,11 inç TFT IPS 90Hz,Android 13,8049,,,Hayır,Hayır,Yok,,,,,,,,,
10390,Bilgisayar,Dell G15 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 165Hz,Windows 11 Home,40777,,,,,,,,,,,,,,
